Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
PARC CLEMATIS,"1,687,000","1,044.11","1,616",08 May 2020,8E JALAN LEMPENG #04-57,New Sale,Strata,97,"17,392",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128827,05,12,West Region,Clementi
PARC CLEMATIS,"1,485,000",914.94,"1,623",08 May 2020,8 JALAN LEMPENG #13-12,New Sale,Strata,85,"17,471",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128796,05,12,West Region,Clementi
MARINA ONE RESIDENCES,"1,420,000",678.13,"2,094",08 May 2020,21 MARINA WAY #22-11,Resale,Strata,63,"22,540",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018978,01,01,Central Region,Downtown Core
THE TAPESTRY,"1,403,730","1,130.22","1,242",08 May 2020,59 TAMPINES STREET 86 #04-31,New Sale,Strata,105,"13,369",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528509,18,52,East Region,Tampines
ICON,"1,797,500","1,044.11","1,722",08 May 2020,10 GOPENG STREET #32-11,Resale,Strata,97,"18,531",-,Apartment,1,99 yrs from 29/01/2002,2007,N.A,078878,02,07,Central Region,Downtown Core
INZ RESIDENCE,"1,010,000","1,011.82",998,08 May 2020,78 CHOA CHU KANG AVENUE 5 #12-35,New Sale,Strata,94,"10,745",-,Executive Condominium,1,99 yrs from 27/11/2015,2019,Private,688200,23,68,West Region,Choa Chu Kang
PARC ESTA,"855,000",516.67,"1,655",08 May 2020,902 SIMS AVENUE #18-15,New Sale,Strata,48,"17,813",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408967,14,40,Central Region,Geylang
PARC ESTA,"1,532,000",958,"1,599",08 May 2020,914 SIMS AVENUE #05-68,New Sale,Strata,89,"17,213",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408973,14,40,Central Region,Geylang
THE ANTARES,"1,148,000",667.37,"1,720",08 May 2020,19 MATTAR ROAD #03-01,New Sale,Strata,62,"18,516",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,387728,14,38,Central Region,Geylang
STRATFORD COURT,"1,120,000","1,399.32",800,08 May 2020,41A BEDOK RIA CRESCENT #01-13,Resale,Strata,130,"8,615",-,Condominium,1,99 yrs from 23/06/1995,1998,Private,489929,16,48,East Region,Bedok
BRADDELL HEIGHTS ESTATE,"8,500,000","10,081.56",843,08 May 2020,21 CHILTERN DRIVE,Resale,Land,936.6,"9,075",-,Detached House,1,Freehold,-,Private,359740,13,35,North East Region,Serangoon
EURO-ASIA PARK,"1,820,000","1,420.85","1,281",08 May 2020,25 WOODLEIGH CLOSE #03-27,Resale,Strata,132,"13,788",-,Condominium,1,Freehold,1996,Private,357920,13,35,Central Region,Toa Payoh
PICARDY GARDENS,"1,180,000","1,302.44",906,08 May 2020,20A JALAN PARI BURONG,Resale,Strata,121,"9,752",-,Apartment,1,Freehold,1975,HDB,488687,16,48,East Region,Bedok
TREASURE AT TAMPINES,"956,000",656.6,"1,456",08 May 2020,1 TAMPINES LANE #03-06,New Sale,Strata,61,"15,672",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528482,18,52,East Region,Tampines
EIGHT RIVERSUITES,"1,050,000",699.66,"1,501",08 May 2020,10 WHAMPOA EAST #17-29,Resale,Strata,65,"16,154",-,Condominium,1,99 yrs from 11/07/2011,2016,Private,338521,12,33,Central Region,Kallang
SKY HABITAT,"1,080,000",710.42,"1,520",08 May 2020,9 BISHAN STREET 15 #27-17,Resale,Strata,66,"16,364",-,Condominium,1,99 yrs from 30/05/2011,2015,HDB,573909,20,57,Central Region,Bishan
INZ RESIDENCE,"998,000","1,011.82",986,08 May 2020,74 CHOA CHU KANG AVENUE 5 #10-26,New Sale,Strata,94,"10,617",-,Executive Condominium,1,99 yrs from 27/11/2015,2019,HDB,688198,23,68,West Region,Choa Chu Kang
ILLUMINAIRE ON DEVONSHIRE,"1,380,000",635.08,"2,173",08 May 2020,65 DEVONSHIRE ROAD #13-02,Resale,Strata,59,"23,390",-,Apartment,1,Freehold,2011,Private,239900,09,23,Central Region,River Valley
COASTLINE RESIDENCES,"1,746,000",710.42,"2,458",08 May 2020,9 AMBER ROAD #09-07,New Sale,Strata,66,"26,455",-,Apartment,1,Freehold,Uncompleted,Private,439854,15,43,Central Region,Marine Parade
VISIONCREST,"1,700,000",914.94,"1,858",08 May 2020,37 OXLEY RISE #05-16,Resale,Strata,85,"20,000",-,Apartment,1,Freehold,2007,N.A,238712,09,23,Central Region,Museum
PARC ESTA,"1,298,000",742.72,"1,748",08 May 2020,900 SIMS AVENUE #12-02,New Sale,Strata,69,"18,812",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408966,14,40,Central Region,Geylang
PARC CLEMATIS,"1,136,000",721.19,"1,575",08 May 2020,8 JALAN LEMPENG #07-15,New Sale,Strata,67,"16,955",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
RIVERFRONT RESIDENCES,"1,336,000","1,108.69","1,205",08 May 2020,51 HOUGANG AVENUE 7 #02-60,New Sale,Strata,103,"12,971",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533818,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"737,000",484.38,"1,522",09 May 2020,95 HOUGANG AVENUE 2 #07-71,New Sale,Strata,45,"16,378",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,533754,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"732,000",484.38,"1,511",09 May 2020,95 HOUGANG AVENUE 2 #06-71,New Sale,Strata,45,"16,267",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533754,19,53,North East Region,Hougang
STIRLING RESIDENCES,"1,980,000","1,054.87","1,877",09 May 2020,23 STIRLING ROAD #26-16,New Sale,Strata,98,"20,204",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,HDB,148961,03,14,Central Region,Queenstown
WHISTLER GRAND,"1,111,100",764.24,"1,454",09 May 2020,107 WEST COAST VALE #19-05,New Sale,Strata,71,"15,649",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,N.A,126751,05,12,West Region,Clementi
PARC CLEMATIS,"1,377,000",828.83,"1,661",09 May 2020,8B JALAN LEMPENG #23-33,New Sale,Strata,77,"17,883",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128824,05,12,West Region,Clementi
PARC ESTA,"1,107,000",635.08,"1,743",09 May 2020,906 SIMS AVENUE #03-28,New Sale,Strata,59,"18,763",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408969,14,40,Central Region,Geylang
PARC CLEMATIS,"1,079,000",688.9,"1,566",09 May 2020,8B JALAN LEMPENG #16-31,New Sale,Strata,64,"16,859",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,Private,128824,05,12,West Region,Clementi
JADESCAPE,"1,404,000",764.24,"1,837",09 May 2020,12 SHUNFU ROAD #20-41,New Sale,Strata,71,"19,775",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575747,20,57,Central Region,Bishan
FOURTH AVENUE RESIDENCES,"1,058,000",484.38,"2,163",09 May 2020,12 FOURTH AVENUE #05-44,New Sale,Strata,45,"23,281","1,047,654",Apartment,1,99 yrs from 07/03/2018,Uncompleted,HDB,268676,10,26,Central Region,Bukit Timah
FOURTH AVENUE RESIDENCES,"998,000",484.38,"2,039",09 May 2020,6 FOURTH AVENUE #02-13,New Sale,Strata,45,"21,948","987,654",Apartment,1,99 yrs from 07/03/2018,Uncompleted,HDB,268673,10,26,Central Region,Bukit Timah
PARC ESTA,"1,564,000",958,"1,633",09 May 2020,900 SIMS AVENUE #05-08,New Sale,Strata,89,"17,573",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408966,14,40,Central Region,Geylang
PARC ESTA,"1,240,000",742.72,"1,670",09 May 2020,902 SIMS AVENUE #04-11,New Sale,Strata,69,"17,971",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408967,14,40,Central Region,Geylang
PARC ESTA,"1,745,000","1,033.34","1,689",09 May 2020,902 SIMS AVENUE #14-12,New Sale,Strata,96,"18,177",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408967,14,40,Central Region,Geylang
TREASURE AT TAMPINES,"711,000",462.85,"1,536",09 May 2020,53 TAMPINES LANE #12-181,New Sale,Strata,43,"16,535",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528459,18,52,East Region,Tampines
FOURTH AVENUE RESIDENCES,"988,000",484.38,"2,040",09 May 2020,6 FOURTH AVENUE #03-13,New Sale,Strata,45,"21,956",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,268673,10,26,Central Region,Bukit Timah
JADESCAPE,"1,412,800",764.24,"1,849",09 May 2020,12 SHUNFU ROAD #21-41,New Sale,Strata,71,"19,899",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575747,20,57,Central Region,Bishan
JADESCAPE,"1,853,000","1,054.87","1,757",09 May 2020,4 SHUNFU ROAD #19-11,New Sale,Strata,98,"18,908",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575743,20,57,Central Region,Bishan
JADESCAPE,"938,000",527.44,"1,778",09 May 2020,4 SHUNFU ROAD #21-14,New Sale,Strata,49,"19,143",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575743,20,57,Central Region,Bishan
THE TAPESTRY,"1,252,960",990.29,"1,265",10 May 2020,59 TAMPINES STREET 86 #05-36,New Sale,Strata,92,"13,619",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,N.A,528509,18,52,East Region,Tampines
STIRLING RESIDENCES,"964,000",505.91,"1,905",10 May 2020,23 STIRLING ROAD #09-13,New Sale,Strata,47,"20,511",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,N.A,148961,03,14,Central Region,Queenstown
STIRLING RESIDENCES,"1,206,000",656.6,"1,837",10 May 2020,23 STIRLING ROAD #26-20,New Sale,Strata,61,"19,770",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
WHISTLER GRAND,"709,300",441.32,"1,607",10 May 2020,109 WEST COAST VALE #19-16,New Sale,Strata,41,"17,300",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,HDB,126752,05,12,West Region,Clementi
3 CUSCADEN,"2,645,361",731.95,"3,614",10 May 2020,3 CUSCADEN WALK #12-01,New Sale,Strata,68,"38,902",-,Apartment,1,Freehold,Uncompleted,Private,249690,10,24,Central Region,River Valley
PARC CLEMATIS,"1,049,000",688.9,"1,523",10 May 2020,8B JALAN LEMPENG #06-31,New Sale,Strata,64,"16,391",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128824,05,12,West Region,Clementi
TREASURE AT TAMPINES,"711,000",462.85,"1,536",10 May 2020,51 TAMPINES LANE #12-172,New Sale,Strata,43,"16,535",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528460,18,52,East Region,Tampines
KENT RIDGE HILL RESIDENCES,"842,000",473.62,"1,778",10 May 2020,68A SOUTH BUONA VISTA ROAD #01-95,New Sale,Strata,44,"19,136",-,Apartment,1,99 yrs from 10/11/2018,Uncompleted,N.A,117329,05,11,Central Region,Queenstown
MARGARET VILLE,"2,113,118","1,184.04","1,785",10 May 2020,20 MARGARET DRIVE #25-08,New Sale,Strata,110,"19,210",-,Apartment,1,99 yrs from 13/03/2017,Uncompleted,N.A,149312,03,14,Central Region,Queenstown
MARGARET VILLE,"2,147,243","1,184.04","1,813",10 May 2020,20 MARGARET DRIVE #30-08,New Sale,Strata,110,"19,520",-,Apartment,1,99 yrs from 13/03/2017,Uncompleted,N.A,149312,03,14,Central Region,Queenstown
JADESCAPE,"1,182,000",645.84,"1,830",10 May 2020,6 SHUNFU ROAD #23-19,New Sale,Strata,60,"19,700",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575744,20,57,Central Region,Bishan
RIVERFRONT RESIDENCES,"702,000",516.67,"1,359",10 May 2020,47 HOUGANG AVENUE 7 #02-34,New Sale,Strata,48,"14,625",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,N.A,533816,19,53,North East Region,Hougang
PARC CLEMATIS,"1,127,000",721.19,"1,563",10 May 2020,8 JALAN LEMPENG #04-15,New Sale,Strata,67,"16,821",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128796,05,12,West Region,Clementi
PARC CLEMATIS,"1,146,000",721.19,"1,589",10 May 2020,8 JALAN LEMPENG #10-15,New Sale,Strata,67,"17,104",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
LEIGHWOODS,"2,880,000","2,217.38","1,299",11 May 2020,37 MOUNT SINAI RISE #02-02,Resale,Strata,206,"13,981",-,Condominium,1,Freehold,1985,Private,276956,10,27,Central Region,Bukit Timah
TREASURE AT TAMPINES,"1,564,000","1,237.86","1,263",11 May 2020,37 TAMPINES LANE #09-123,New Sale,Strata,115,"13,600",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528467,18,52,East Region,Tampines
DAINTREE RESIDENCE,"1,111,330",667.37,"1,665",11 May 2020,11G TOH TUCK ROAD #05-32,New Sale,Strata,62,"17,925",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,HDB,596129,21,59,Central Region,Bukit Timah
AFFINITY AT SERANGOON,"756,000",473.62,"1,596",11 May 2020,26 SERANGOON NORTH AVENUE 1 #08-44,New Sale,Strata,44,"17,182",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554340,19,55,North East Region,Serangoon
PARC CLEMATIS,"1,143,000",721.19,"1,585",11 May 2020,8 JALAN LEMPENG #09-15,New Sale,Strata,67,"17,060",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
PARC CLEMATIS,"1,087,000",688.9,"1,578",11 May 2020,8E JALAN LEMPENG #05-55,New Sale,Strata,64,"16,984",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128827,05,12,West Region,Clementi
THE INFLORA,"515,000",462.85,"1,113",11 May 2020,51 FLORA DRIVE #08-03,Resale,Strata,43,"11,977",-,Condominium,1,99 yrs from 25/05/2012,2016,HDB,506862,17,50,East Region,Pasir Ris
THE INFLORA,"510,000",462.85,"1,102",11 May 2020,63 FLORA DRIVE #05-36,Resale,Strata,43,"11,860",-,Condominium,1,99 yrs from 25/05/2012,2016,HDB,506848,17,50,East Region,Pasir Ris
CENTRAL GROVE,"1,240,000","1,227.1","1,011",11 May 2020,1 GEYLANG EAST AVENUE 1 #15-02,Resale,Strata,114,"10,877",-,Condominium,1,99 yrs from 18/07/1997,2001,HDB,389778,14,38,Central Region,Geylang
TREASURE AT TAMPINES,"925,000",678.13,"1,364",11 May 2020,39 TAMPINES LANE #08-129,New Sale,Strata,63,"14,683",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528466,18,52,East Region,Tampines
PARC CLEMATIS,"1,150,000",721.19,"1,595",11 May 2020,8 JALAN LEMPENG #11-15,New Sale,Strata,67,"17,164",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
KNOX VIEW,"1,180,000","1,108.69","1,064",11 May 2020,21 LORONG M TELOK KURAU #02-02,Resale,Strata,103,"11,456",-,Apartment,1,Freehold,2003,HDB,425307,15,42,East Region,Bedok
MARINA ONE RESIDENCES,"1,767,913",764.24,"2,313",11 May 2020,23 MARINA WAY #26-29,Resale,Strata,71,"24,900",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018979,01,01,Central Region,Downtown Core
THE CANOPY,"980,000","1,205.57",813,11 May 2020,75 YISHUN AVENUE 11 #06-11,Resale,Strata,112,"8,750",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768860,27,76,North Region,Yishun
PARC CLEMATIS,"1,121,000",721.19,"1,554",11 May 2020,8 JALAN LEMPENG #02-15,New Sale,Strata,67,"16,731",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
ARTRA,"1,680,300",785.77,"2,138",11 May 2020,10 ALEXANDRA VIEW #41-04,New Sale,Strata,73,"23,018",-,Apartment,1,99 yrs from 15/02/2016,Uncompleted,HDB,158745,03,15,Central Region,Bukit Merah
MARINA ONE RESIDENCES,"2,760,650","1,173.28","2,353",11 May 2020,23 MARINA WAY #23-33,Resale,Strata,109,"25,327",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018979,01,01,Central Region,Downtown Core
PARC ESTA,"1,616,000",958,"1,687",11 May 2020,900 SIMS AVENUE #14-08,New Sale,Strata,89,"18,157",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408966,14,40,Central Region,Geylang
AVENUE SOUTH RESIDENCE,"1,631,000",688.9,"2,368",11 May 2020,13 SILAT AVENUE #56-43,New Sale,Strata,64,"25,484",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,Private,168878,03,16,Central Region,Bukit Merah
LOYANG GARDENS,"1,100,000","1,485.43",741,11 May 2020,51 JALAN LOYANG BESAR,Resale,Strata,138,"7,971",-,Condominium,1,999 yrs from 29/05/1885,1994,Private,509374,17,50,East Region,Pasir Ris
THE FLORENCE RESIDENCES,"1,762,000","1,270.15","1,387",11 May 2020,83 HOUGANG AVENUE 2 #03-12,New Sale,Strata,118,"14,932",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538860,19,53,North East Region,Hougang
PIERMONT GRAND,"1,022,100",968.76,"1,055",11 May 2020,42 SUMANG WALK #03-45,New Sale,Strata,90,"11,357",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828626,19,82,North East Region,Punggol
THE CENTRIS,"1,215,000","1,065.64","1,140",11 May 2020,79 JURONG WEST CENTRAL 3 #08-32,Resale,Strata,99,"12,273",-,Apartment,1,99 yrs from 21/06/2006,2009,HDB,648339,22,64,West Region,Jurong West
SPRINGLEAF GARDEN,"3,600,000","4,974.04",724,11 May 2020,13 SPRINGLEAF HEIGHT,Resale,Land,462.1,"7,791",-,Semi-Detached House,1,Freehold,1987,Private,788107,26,78,North Region,Yishun
AFFINITY AT SERANGOON,"751,000",473.62,"1,586",11 May 2020,24 SERANGOON NORTH AVENUE 1 #14-38,New Sale,Strata,44,"17,068",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554339,19,55,North East Region,Serangoon
SELETAR SPRINGS CONDOMINIUM,"1,168,000","1,582.31",738,11 May 2020,108 GERALD DRIVE #01-40,Resale,Strata,147,"7,946",-,Condominium,1,99 yrs from 12/08/1997,2000,HDB,799035,28,79,North East Region,Hougang
SKY VUE,"810,000",495.14,"1,636",11 May 2020,3 BISHAN STREET 15 #18-13,Resale,Strata,46,"17,609",-,Condominium,1,99 yrs from 04/03/2013,2016,HDB,573911,20,57,Central Region,Bishan
KENTISH LODGE,"1,400,000","1,356.26","1,032",11 May 2020,3 OXFORD ROAD #01-11,Resale,Strata,126,"11,111",-,Apartment,1,99 yrs from 01/03/1995,1998,HDB,218814,08,21,Central Region,Kallang
THE MINTON,"1,728,000","1,657.66","1,042",11 May 2020,10A HOUGANG STREET 11 #05-35,Resale,Strata,154,"11,221",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534079,19,53,North East Region,Hougang
JADESCAPE,"1,330,000",764.24,"1,740",11 May 2020,2 SHUNFU ROAD #08-09,New Sale,Strata,71,"18,732",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,N.A,575742,20,57,Central Region,Bishan
TREASURE AT TAMPINES,"1,765,000","1,323.97","1,333",12 May 2020,19 TAMPINES LANE #05-71,New Sale,Strata,123,"14,350",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528476,18,52,East Region,Tampines
PARC CENTENNIAL,"1,700,000","1,248.62","1,361",12 May 2020,100 KAMPONG JAVA ROAD #04-01,Resale,Strata,116,"14,655",-,Apartment,1,Freehold,2011,Private,228867,09,22,Central Region,Novena
STIRLING RESIDENCES,"1,201,000",635.08,"1,891",12 May 2020,23 STIRLING ROAD #07-12,New Sale,Strata,59,"20,356",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,N.A,148961,03,14,Central Region,Queenstown
PARC CLEMATIS,"859,000",516.67,"1,663",12 May 2020,8C JALAN LEMPENG #18-37,New Sale,Strata,48,"17,896",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128825,05,12,West Region,Clementi
COMMONWEALTH TOWERS,"838,000",462.85,"1,811",12 May 2020,232 COMMONWEALTH AVENUE #16-13,Resale,Strata,43,"19,488",-,Condominium,1,99 yrs from 07/05/2013,2017,Private,149740,03,14,Central Region,Queenstown
THE RAINTREE,"1,490,000","1,431.61","1,041",12 May 2020,93 BUKIT DRIVE #01-30,Resale,Strata,133,"11,203",-,Condominium,1,99 yrs from 01/03/2003,2008,Private,587844,21,58,West Region,Bukit Panjang
OPERA ESTATE,"2,200,800","2,286.27",963,12 May 2020,76 DIDO STREET,Resale,Land,212.4,"10,362",-,Terrace House,1,Freehold,-,Private,459500,15,45,East Region,Bedok
CLUNY PARK RESIDENCE,"4,000,000","1,646.89","2,429",12 May 2020,99 CLUNY PARK ROAD #04-06,Resale,Strata,153,"26,144",-,Condominium,1,Freehold,2016,Private,257496,10,25,Central Region,Tanglin
KENT RIDGE HILL RESIDENCES,"1,360,000",893.41,"1,522",12 May 2020,50 SOUTH BUONA VISTA ROAD #05-02,New Sale,Strata,83,"16,386",-,Apartment,1,99 yrs from 10/11/2018,Uncompleted,HDB,118167,05,11,Central Region,Queenstown
THE FLORENCE RESIDENCES,"715,000",484.38,"1,476",12 May 2020,97 HOUGANG AVENUE 2 #04-80,New Sale,Strata,45,"15,889",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533753,19,53,North East Region,Hougang
THE GARDEN RESIDENCES,"1,060,700",613.55,"1,729",12 May 2020,9 SERANGOON NORTH VIEW #12-41,New Sale,Strata,57,"18,609",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554347,19,55,North East Region,Serangoon
OPERA ESTATE,"1,888,000","1,283.07","1,471",12 May 2020,11A DAFNE STREET,Resale,Land,119.2,"15,839",-,Terrace House,1,Freehold,-,HDB,459531,15,45,East Region,Bedok
THE ORCHARD RESIDENCES,"6,580,000","2,174.33","3,026",12 May 2020,238 ORCHARD BOULEVARD #50-08,Resale,Strata,202,"32,574",-,Apartment,1,99 yrs from 13/03/2006,2010,N.A,237973,09,23,Central Region,Orchard
35 GILSTEAD,"1,823,235",699.66,"2,606",12 May 2020,35 GILSTEAD ROAD #04-13,New Sale,Strata,65,"28,050",-,Apartment,1,Freehold,Uncompleted,HDB,309079,11,30,Central Region,Novena
LAKEHOLMZ,"1,290,000","1,517.72",850,12 May 2020,88 CORPORATION ROAD #09-18,Resale,Strata,141,"9,149",-,Condominium,1,99 yrs from 29/10/2001,2005,HDB,649823,22,64,West Region,Jurong West
VIEW AT KISMIS,"1,052,000",592.02,"1,777",12 May 2020,21 LORONG KISMIS #05-26,New Sale,Strata,55,"19,127",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,HDB,596187,21,59,Central Region,Bukit Timah
VIEW AT KISMIS,"1,207,000",710.42,"1,699",12 May 2020,25 LORONG KISMIS #05-34,New Sale,Strata,66,"18,288",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,Private,596189,21,59,Central Region,Bukit Timah
THE SEAFRONT ON MEYER,"2,950,000","1,603.84","1,839",12 May 2020,55 MEYER ROAD #12-04,Resale,Strata,149,"19,799",-,Condominium,1,Freehold,2010,HDB,437978,15,43,Central Region,Marine Parade
N.A.,"16,200,000","10,061.11","1,610",12 May 2020,51 OEI TIONG HAM PARK,Resale,Land,934.7,"17,332",-,Detached House,1,Freehold,-,Private,267056,10,26,Central Region,Bukit Timah
PIERMONT GRAND,"959,850",839.59,"1,143",12 May 2020,34 SUMANG WALK #15-25,New Sale,Strata,78,"12,306",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828622,19,82,North East Region,Punggol
SUNRISE GARDENS,"920,000","1,248.62",737,12 May 2020,55 SUNRISE AVENUE #02-07,Resale,Strata,116,"7,931",-,Condominium,1,99 yrs from 24/06/1995,1998,Private,806747,28,80,North East Region,Ang Mo Kio
PARC ESTA,"1,510,000",958,"1,576",12 May 2020,914 SIMS AVENUE #03-68,New Sale,Strata,89,"16,966",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408973,14,40,Central Region,Geylang
SELETARIS,"1,600,000","1,926.76",830,13 May 2020,503 SEMBAWANG ROAD #01-27,Resale,Strata,179,"8,939",-,Condominium,1,Freehold,2001,HDB,757707,27,75,North Region,Sembawang
SOUTH BEACH RESIDENCES,"3,190,000",936.47,"3,406",13 May 2020,28 BEACH ROAD #43-02,Resale,Strata,87,"36,667",-,Apartment,1,99 yrs from 10/12/2007,2016,HDB,189762,07,18,Central Region,Downtown Core
EIGHT COURTYARDS,"850,000",861.12,987,13 May 2020,6 CANBERRA DRIVE #04-05,Resale,Strata,80,"10,625",-,Condominium,1,99 yrs from 20/09/2010,2014,Private,768140,27,76,North Region,Yishun
RIVERSOUND RESIDENCE,"940,000",947.23,992,13 May 2020,5 SENGKANG EAST AVENUE #08-17,Resale,Strata,88,"10,682",-,Condominium,1,99 yrs from 26/08/2011,2015,HDB,544740,19,54,North East Region,Sengkang
STIRLING RESIDENCES,"1,504,000",764.24,"1,968",13 May 2020,23 STIRLING ROAD #39-17,New Sale,Strata,71,"21,183",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,HDB,148961,03,14,Central Region,Queenstown
STIRLING RESIDENCES,"1,221,000",635.08,"1,923",13 May 2020,25 STIRLING ROAD #34-27,New Sale,Strata,59,"20,695",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,N.A,148962,03,14,Central Region,Queenstown
PARC CLEMATIS,"1,068,000",688.9,"1,550",13 May 2020,8B JALAN LEMPENG #14-32,New Sale,Strata,64,"16,688",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128824,05,12,West Region,Clementi
MARINA ONE RESIDENCES,"3,852,000","1,517.72","2,538",13 May 2020,21 MARINA WAY #23-18,Resale,Strata,141,"27,319",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018978,01,01,Central Region,Downtown Core
EUHABITAT,"610,000",548.96,"1,111",13 May 2020,208 JALAN EUNOS #04-61,Resale,Strata,51,"11,961",-,Condominium,1,99 yrs from 06/12/2010,2015,Private,419548,14,41,East Region,Bedok
TREASURE AT TAMPINES,"1,376,000","1,033.34","1,332",13 May 2020,51 TAMPINES LANE #12-175,New Sale,Strata,96,"14,333",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528460,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,412,000","1,033.34","1,366",13 May 2020,17 TAMPINES LANE #08-69,New Sale,Strata,96,"14,708",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528477,18,52,East Region,Tampines
PIERMONT GRAND,"957,420",839.59,"1,140",13 May 2020,40 SUMANG WALK #08-37,New Sale,Strata,78,"12,275",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828625,19,82,North East Region,Punggol
